"","MESSAGE_BODY","MESSAGE_FAVORITES_COUNT","MESSAGE_POSTED_TIME","MESSAGE_RETWEET_COUNT","MESSAGE_ACTION","USER_GENDER","USER_FOLLOWERS_COUNT","USER_SCREEN_NAME","USER_CITY","X10"
"13","RT @DeSalesMedia: Say hello to the 33rd Parish on the Parish Network, Our Lady of the Cenacle! https://t.co/wzn0uI7e8w https://t.co/642muaK<U+0089><db>_","0","27:51.0","6","share","male","132","DeMedievalist","NEW YORK CITY",NA
"14","RT @DeSalesMedia: USA was definitely present in #Krakow2016! Here's a pic from Instagram's #WYDOB courtesy of ajsantagata #WYD2016 https://<U+0089><db>_","0","26:39.0","5","share","male","2518","PadreMena","East Riverdale",NA
"15","RT @StMaryLIC: Outreach to our Community through Music supported by Italian Ice sales&amp;St Mary<U+0089><U+06EA>s 50/50 Raffle @NETnyTV @DeSalesMedia https:/<U+0089><db>_","0","35:28.0","2","share","unknown","1228","DeSalesMedia","Brooklyn",NA
"16","RT @DeSalesMedia: 24 Unstoppable Catholic Women doing amazing things for God! via @catholiclink_en https://t.co/oP0T00mGVZ","0","11:57.0","2","share","male","604","StJoseph_BK","NEW YORK CITY",NA
"17","RT @DeSalesMedia: LIVE from our team at the Paul IV Audience Hall, Vatican: #PopeFrancis greets attendees at the First Global Conference on<U+0089><db>_","0","03:34.0","4","share","unknown","1490","BrooklynDiocese","Brooklyn",NA
"18","RT @DeSalesMedia: #ElectionDay is on Tuesday, November 8th! Don't forget to get out and make your voice heard! https://t.co/eHxOiyfR89","0","07:11.0","6","share","unknown","859","CFBQ","Brooklyn",NA
"19","RT @DeMedievalist: PRESS for #PopeFrancis' departure from JFK on the move! @DeSalesMedia http://t.co/ka1et2J4S8 #PopeinNYC #PopeInPhilly http://t.co/7ssiCjLE8M","0","56:06.0","2","share","unknown","209","NuestraVozDOB","NEW YORK CITY",NA
"20","RT @DeSalesMedia: Here are the representatives of the World's Religions at the @Sept11Memorial #PopeInUSA #PopeInNYC http://t.co/4zskVkCWxC","0","51:32.0","2","share","unknown","685","togoforth",NA,NA
"21","RT @SFBK_SWA: Our student athletes helping @desalesmedia in making sandwiches &amp; loading vans for the #popeinusa! #TerrierPride http://t.co/mIFcKFYjln","0","42:41.0","9","share","unknown","192","SFBKTSN","Brooklyn",NA
"22","RT @DeSalesMedia: #PopeFrancis has arrived at Our Lady, Queen of Angels school in Harlem! #PopeInNYC #PopeInUSA http://t.co/gOjoFh1zYX","0","32:29.0","2","share","female","3734","divinetechygirl","New York City",NA
"23","RT @DeSalesMedia: The first reading, Numbers 11:25-29 is being read in Spanish @NuestraVozDOB #PopeInPhilly http://t.co/9I103RmNaY #PopeInUSA #PapaEnUSA","0","38:44.0","5","share","female","1289","RealAlexmom",NA,NA
"24","RT @frgelfant: @DeSalesMedia Louie thanks you too! http://t.co/qSQuEL5OQi","0","40:25.0","1","share","male","217","StFinbarBklyn","Brooklyn",NA
"25","RT @DeSalesMedia: The 5th Academy Network site is now live! Go to http://t.co/NvbV0x8hHt to check out @StRoseRockaway in Queens! http://t.co/XVXfhnIiOe","0","08:45.0","2","share","male","323","StJoseph_BK","NEW YORK CITY",NA
"26","Check out our new bilingual prayer site #PrayForMe by @DeSalesMedia. Come and join our community of prayer! + info: https://t.co/N7zC7lfHIW","1","37:42.0","1","post","unknown","698","BrooklynDiocese","NEW YORK CITY",NA
"27","RT @DeSalesMedia: The Dickens Carolers warming up before the #Christmas Tree Lighting at @StJoseph_BK! Come on down at 5PM to hear it! https://t.co/k8dr073KLe","0","11:30.0","1","share","female","205","MariaPiaNegro",NA,NA
"28","RT @TabletNewspaper: At Children<U+0089><U+06EA>s Hospital, @Pontifex Prescribes <U+0089><db><f7>Kindness Therapy<U+0089><U+06EA> https://t.co/RScWZAZ6Pv #PopeInMexico @DeSalesMedia ht<U+0089><db>_","0","32:56.0","2","share","unknown","1308","vaticonnections",NA,NA
"29","RT @DeSalesMedia: #PopeFrancis: ""We need legislation that protects each home and person so that they can grow"" #PopeInMexico https://t.co/E<U+0089><db>_","0","02:17.0","3","share","male","422","StJoseph_BK","NEW YORK CITY",NA
"30","RT @austeni: El santo pueblo fiel juarense de Dios esperando al Papa #PapaenCDJ @NETnyTV @DeSalesMedia https://t.co/Y6DUaayJ9q","0","32:12.0","4","share","unknown","1103","TabletNewspaper","NEW YORK CITY",NA
"31","ICYMI: Pope Appeals Heart, Soul In Mexico https://t.co/jvqkCVpreX article by @austeni #PopeInMexico  @DeSalesMedia https://t.co/ZZHabU8GU2","0","40:07.0","0","post","unknown","1110","TabletNewspaper","NEW YORK CITY",NA
"32","RT @StFinbarBklyn: Among those to be baptized tonight, an award winning anchor/news reporter for a major NY network. #RCIA @DeSalesMedia @c<U+0089><db>_","0","20:49.0","1","share","male","224","frgelfant","NEW YORK CITY",NA
"33","RT @DeSalesMedia: Holy See Communications Secretariat creates new ""DotCatholic"" internet office. https://t.co/6Q5N0RzXfQ  @news_va_en https<U+0089><db>_","0","54:22.0","6","share","female","345","BluebellAmerika",NA,NA
"34","RT @austeni: Compelling case by Msge Harrington of @DeSalesMedia for Church to invest in professional communication https://t.co/nkDD7BVfcY","0","27:04.0","1","share","male","212","paulo_terroso",NA,NA
"35","RT @DeSalesMedia: .@FatherRosica: We are promoters of culture of encounter. We are living sacraments of the embrace between God<U+0089><U+06EA>s riches &amp;<U+0089><db>_","0","26:02.0","2","share","female","461","nbisbal","Brooklyn",NA
"36","RT @DeSalesMedia: .@EWTN Doug Keck: The Catholic church has the whole truth but it can be delivered in many different ways #WCDnyc","0","23:08.0","3","share","unknown","44","swartzmadeline",NA,NA
"37","RT @eliseitaliano: Love this from @jenfulwiler: I see my show's mission as living life alongside of my listeners.#WDCnyc @DeSalesMedia","0","38:24.0","2","share","male","503","MitchBoersma","WASHINGTON",NA
"38","RT @DeSalesMedia: .@FatherRosica: We have many graces in current Pontificate. The insistence on dialogue is a whole new thing #WCDnyc https<U+0089><db>_","0","39:33.0","1","share","unknown","44","swartzmadeline",NA,NA
"39","RT @DeSalesMedia: .@MikeOLoughlin: 80/20 rule - Convey hope &amp; joy of the world then preach the mission of the Church. #WCDnyc Lead with bea<U+0089><db>_","0","28:10.0","1","share","male","505","StJoseph_BK","NEW YORK CITY",NA
"40","RT @saltandlighttv: #WCDnyc @DeSalesMedia pays video tributes to #MotherAngelica @EWTN and #GaetanoGagliano @saltandlighttv","0","57:07.0","2","share","unknown","1065","DeSalesMedia","Brooklyn",NA
"41","RT @DeSalesMedia: @MorningAirShow on Social Media in Catholic Media: It's a form of encounter...it's an opportunity to evangelize. #WCDnyc","0","25:48.0","5","share","unknown","1110","NETnyTV","Brooklyn",NA
"42","RT @DeSalesMedia: Doug Keck @EWTN If God wants us to go on we will. If He doesn't, we won't. Opportunities present themselves. #WCDnyc","0","58:28.0","2","share","male","19486","saltandlighttv","Toronto",NA
"43","RT @tonyrossimedia: Congrats to @BrooklynDiocese on outstanding #WCDnyc! Engaging speakers &amp; great networking. And @DeSalesMedia is top not<U+0089><db>_","0","04:37.0","5","share","male","109","DeMedievalist","NEW YORK CITY",NA
"44","@DeSalesMedia its awesome! Thank you! #CMC16","0","36:29.0","0","post","unknown","2460","Diobpt","Bridgeport",NA
"45","RT @berlykim22: #CMC16 #CMC16 friendsponsor @DeSalesMedia @TabletNewspaper @NETnyTV https://t.co/Isf4RKqgqh","0","18:52.0","1","share","unknown","1183","BrooklynDiocese","Brooklyn",NA
"46","@currentsny @NETnyTV @DeSalesMedia #flushing #queens #stmichael #Philippines  https://t.co/4gCVFlj2z4","0","49:31.0","0","post",NA,"800","currentsny","Brooklyn",NA
"47","RT @NETnyTV: .@currentsny @ewilkinson_ed: @DeSalesMedia Vicar @MonsignorH will deliver #RNCinCLE opening prayer tonight 8:00PM https://t.co<U+0089><db>_","0","52:21.0","6","share","male","57","StPatsBrooklyn","Brooklyn",NA
"48","RT @DeSalesMedia: .@BpDiMarzio at #WYDKrakow2016 with @XaverianHS students from @BrooklynDiocese #WYDOB. (photo via @kevmac71) https://t.co<U+0089><db>_","0","37:10.0","6","share","female","307","MichelleCPowers",NA,NA
"49","RT @DeSalesMedia: 3 @BrooklynDiocese #WYD2016 #WYDOB pilgrims share their faith journey on @fox5ny #GDNY WATCH https://t.co/BwnSrc4Boz http<U+0089><db>_","0","05:23.0","8","share","female","296","MariaPiaNegro",NA,NA
"50","RT @TimHarf: Love the new @currentsny microphone flags! @NETnyTV @DeSalesMedia https://t.co/5Hd6uj7DUZ","0","17:02.0","4","share","male","598","StJoseph_BK","NEW YORK CITY",NA
"51","RT @DeSalesMedia: Monsignor Sanchez De Toca y Alameda at Vatican's First Global Conference on Faith and Sports being interviewed on @NETnyT<U+0089><db>_","0","12:18.0","3","share","unknown","345","NuestraVozDOB","NEW YORK CITY",NA
"52","RT @DeSalesMedia: Mayor @BilldeBlasio receives honorary membership tonight in the @BrooklynChamber. https://t.co/n02fYah4ag","0","07:19.0","2","share","unknown","7694","BrooklynChamber","Brooklyn",NA
"53","RT @DeSalesMedia: Christmas to-do lists can be long, don't forget the most important 'to-do.' Here's our new video! https://t.co/yhnI9JAf3N<U+0089><db>_","0","27:17.0","10","share","female","11","QueensNYKofC","NEW YORK CITY",NA
"54","RT @DeSalesMedia: St Mel Parish in Flushing, Queens is the 46th Parish to join the Parish Network! https://t.co/THwN9BMRry https://t.co/9Ux<U+0089><db>_","0","54:16.0","2","share","male","715","StJoseph_BK","Brooklyn",NA
"55","@IamJaxMorgan @DeSalesMedia @KeithOlbermann @nypost If I have to tell you, you're not someone who would care anyway. Look it up. He's a POS.","0","23:44.0","0","post","unknown","26","ImMadAsWell",NA,NA
"56","She reconnects with her catholic faith. God is doing amazing things! Here is her testimony! @DeSalesMedia #lentatnet http://t.co/bTYoTLnSvE","0","44:58.0","0","post","male","4424","jovenesdevalor","NEW YORK CITY",NA
"57","Hoy @DiosNuncaDuerme visita Ecuador. <e5><c1>Prep<cc><c1>rate para llorar,re<cc>_r y saltar! 

http://t.co/464wJpVLmG

@DeSalesMedia http://t.co/LNzTZFkVTc","0","25:43.0","0","post","male","4487","jovenesdevalor","NEW YORK CITY",NA
"58","RT @DeSalesMedia: Holy Trinity parish made it out too! #BCYD #brooklyncatholic @ChrisStefanick @roopabhopale http://t.co/Nk46Z2ZUAh","0","16:37.0","1","share","male","202","StJoseph_BK","NEW YORK CITY",NA
"59","RT @DeSalesMedia: Who's ready for #WCDnyc? Only 1 week to go! Register now: http://t.co/SVy9aISbGe http://t.co/15DcXbco4i","0","20:43.0","4","share","male","214","StJoseph_BK","NEW YORK CITY",NA
"60","RT @jovenesdevalor: At #WCDnyc keynote speaker Austen Ivereigh the author of ""The Great Reformer"" @DeSalesMedia @NETnyTV #PopeFrancis http://t.co/jAl8i6LiAQ","0","59:58.0","2","share","unknown","501","NETnyTV","Brooklyn",NA
"61","RT @DeMedievalist: @GibsonWrites papal airplane mishap in South Africa yrs ago puts faith back into his step. #WCDnyc @DeSalesMedia @dobpress","0","25:38.0","1","share","unknown","591","DeSalesMedia","Brooklyn",NA
"62","@GibsonWrites papal airplane mishap in South Africa yrs ago puts faith back into his step. #WCDnyc @DeSalesMedia @dobpress","0","25:24.0","1","post","male","31","DeMedievalist","NEW YORK CITY",NA
"63","#WCDnyc @ewilkinson_ed Pope strong on communicating issues. Strong position on family -where communication begins #inthearena @DeSalesMedia","0","27:34.0","3","post","male","31","DeMedievalist","NEW YORK CITY",NA
"64","RT @smallstorm71: #grillingwithgod @doboff @DeSalesMedia http://t.co/5vbLcrFUif","0","07:54.0","2","share","unknown","52","SHSSRC","Brooklyn",NA
"65","RT @Bike4Vocations: And they are off! Witnessing the Gospel of Jesus Christ and the vocation of priesthood @DRVCvocations @DeSalesMedia http://t.co/WVTNERO79T","0","40:44.0","4","share","male","60","cecils2ndlunch",NA,NA
"66","Thanks and so nice to meet you! @kroro43: Wonderful group from @nettv @DeSalesMedia #CMC15 http://t.co/WNvCjZ2vbG""","0","23:29.0","0","post","female","961","christinemohan","New York City",NA
"67","RT @DeSalesMedia: A number of labor unions have shown support for #EducationTaxCredit! http://t.co/PjxYXT2ua1 Show yours by emailing your assembly member!","0","52:34.0","6","share","male","232","StJoseph_BK","NEW YORK CITY",NA
"68","RT @DeSalesMedia: More #EducationTaxCredit rallies today at 3:30! Head to Catherine Nolan's offices in Sunnyside or in Ridgewood to show your support!","0","31:47.0","1","share","unknown","624","currentsny","Brooklyn",NA
"69","RT @dobpress: No te pierdas @eldiariony de hoy! Excelente cobertura de @JoaquinBotero sobre el mural de @DeSalesMedia #PapaEnUSA http://t.co/OwAJFXnqOD","0","59:46.0","3","share","male","4679","austeni","Wallingford",NA
"70","Great article if I may say so! Thanks @TabletNewspaper @ewilkinson_ed and @DeSalesMedia for the great coverage.  https://t.co/inNZZ1GuNF","4","49:33.0","3","post","male","226","JamesKuroly",NA,NA
"71","RT @SHSSRC: Awesome #PopeinUSA T-Shirts @BKCyclones game! Thanks @DeSalesMedia &amp; @BrooklynDiocese! #coneyisland #NYC #PapaEnUSA http://t.co/MWmPSc5Uvr","0","24:41.0","2","share","male","268","StJoseph_BK","NEW YORK CITY",NA
"72","RT @DeSalesMedia: .@MonsignorH blessing @Pontifex dolls that are heading out to @BrooklynDiocese schools! #CTNPapalProject #PopeInUS http://t.co/wGnoJXIryM","0","25:09.0","7","share","male","3752","MichaelDuffy","East Farmingdale",NA
"73","RT @CNS_Rhina: Mural en Nueva York de #papafrancisco, tama_o rascacielos (foto izq de @DeSalesMedia) http://t.co/XZ4CClPWbX","0","59:13.0","2","share","male","118","682BAHIA","Saint Petersburg",NA
"74","RT @DeSalesMedia: Midday Prayers continue, LIVE on NET TV Time Warner 97, Cablevision 30 or http://t.co/eWyYiPBF7W #PopeInDC #PopeInUS http://t.co/SV75Kct4uy","0","12:54.0","2","share","female","20055","marcylauren",NA,NA
"75","RT @DeSalesMedia: LIVE COVERAGE from #PopeInCuba will begin shortly. Our reporters are on the ground awaiting @Pontifex @NuestraVozDOB @austeni #PopeInUSA","0","13:47.0","4","share","unknown","69","SHSSRC","Brooklyn",NA
"76","RT @futuresinedu: #PopeInUSA #LIVECoverage: http://t.co/9bSPcnFcXr @desalesmedia @TabletNewspaper","0","33:33.0","3","share",NA,"77","DeMedievalist","NEW YORK CITY",NA
"77","RT @DeSalesMedia: #PopeFrancis: In this place of pain and remembrance, I am full of hope. #PopeInNYC #PopeInUSA http://t.co/RAygU7NdCN","0","13:45.0","3","share","male","2257","FilmCriticOne",NA,NA
"78","RT @DeSalesMedia: @DeSalesMedia, @israel_ochoa are proud designers of program book for today's Multi-religious Gathering. #PopeInUSA http://t.co/vefJ0ApxvQ","0","33:24.0","1","share","unknown","298","mandamaria","NEW YORK CITY",NA
"79","@DeSalesMedia, @israel_ochoa are proud designers of program book for today's Multi-religious Gathering. #PopeInUSA http://t.co/vefJ0ApxvQ","0","31:23.0","1","post","unknown","793","DeSalesMedia","NEW YORK CITY",NA
"80","For great coverage of Pope address to Congress, go to http://t.co/dmRBzIhyyI -- I'll be joining them soon in the studio. @DeSalesMedia","0","52:31.0","6","post","male","5055","austeni","Oxford",NA
"81","RT @DeSalesMedia: Our social media team+ commentators taking a breather from live coverage #popeinus http://t.co/9I103RmNaY #PopeInUSA http://t.co/BEec8F5MEf","0","20:58.0","7","share","female","76","berlykim22",NA,NA
"82","RT @nbisbal: Set your alarms! The dream team @DeSalesMedia @NETnyTV @currentsny will be back at 3:30 p.m. #PopeInUSA #PapaEnUSA https://t.co/w14B2uUA1h","0","02:23.0","2","share","unknown","750","DeSalesMedia","Brooklyn",NA
"83","RT @DeSalesMedia: .@Pontifex lands in #Cuba in 3 short days! Tune to @NETnyTV and @relevantradio for complete coverage! #popeincuba http://t.co/U1toM7GJi2","0","37:32.0","2","share","male","365","deadtotheworldm",NA,NA
"84","Currently at @russosonthebay... #BrooklynCatholic #GenerationsOfFaith @TabletNewspaper @DeSalesMedia https://t.co/atXIMHYIHH","0","21:46.0","0","post","unknown","733","CFBQ","Brooklyn",NA
"85","RT @dobpress: .@DeSalesMedia has launched a new bilingual prayer site for the @BrooklynDiocese. All the info here: https://t.co/XWqLnCWn47 #PrayForMe","0","09:50.0","2","share","male","348","StJoseph_BK","NEW YORK CITY",NA
"86","RT @DeSalesMedia: #PopeFrancis is taking his time with the children. #PopeInMexico #PapaEnMex https://t.co/eWyYiPBF7W https://t.co/0091t36b<U+0089><db>_","0","17:14.0","3","share","unknown","1846","ohkidrauhlxo","Atlanta",NA
"87","RT @DeSalesMedia: #PopeFrancis gives a blessing to the crowds before heading inside the nunciature. #PopeInMexico #PapaEnMex https://t.co/N<U+0089><db>_","0","42:19.0","1","share","unknown","330","auoropa","M<U+0329>xico",NA
"88","RT @DeSalesMedia: #PopeFrancis has arrived at the Federico Gomez Children's Hospital! #PopeInMexico #PapaEnMex https://t.co/obSRM05Jl4","0","49:28.0","1","share","male","418","StJoseph_BK","NEW YORK CITY",NA
"89","RT @DeSalesMedia: A beautiful moment... #PopeInMexico #PapEnMex https://t.co/XJDZKcnWVv","0","13:01.0","5","share","unknown","284","Tradismatik","Alsace",NA
"90","RT @DeSalesMedia: https://t.co/BDFSNsaabE","0","49:25.0","2","share",NA,"423","StJoseph_BK","NEW YORK CITY",NA
"91","RT @berlykim22: Great job by my coworker Sister Elizabeth Ogbu A beautiful Blessing @DeSalesMedia @TabletNewspaper @NETnyTV @SFCNY https://<U+0089><db>_","0","58:26.0","1","share","unknown","1207","TabletNewspaper","NEW YORK CITY",NA
"92","RT @DeSalesMedia: #WCDnyc is sold out this year, but you can still watch the keynote LIVE at 11am tomorrow on https://t.co/sKscD8zEau! http<U+0089><db>_","0","36:09.0","6","share","unknown","1213","TabletNewspaper","NEW YORK CITY",NA
"93","RT @DeSalesMedia: .@JohnHarperTalk is LIVE from #WCDnyc with @mandamaria! https://t.co/H5VxxYkTbN","0","40:50.0","1","share","male","501","StJoseph_BK","NEW YORK CITY",NA
"94","RT @DeSalesMedia: Our Keynote speaker, @FatherRosica of @saltandlighttv has arrived to #WCDnyc! https://t.co/sKscD8zEau https://t.co/WICo4M<U+0089><db>_","0","44:56.0","6","share","unknown","1121","BrooklynDiocese","Brooklyn",NA
"95","RT @DeSalesMedia: .@FatherRosica: ""@Pontifex: I cannot ever tire of encouraging you to dialogue fearlessly."" #WCDnyc","0","45:14.0","1","share","male","503","StJoseph_BK","NEW YORK CITY",NA
"96","RT @DeSalesMedia: .@FatherRosica: Our primary task is to uphold the truth with love. #WCDnyc","0","45:17.0","5","share","male","503","StJoseph_BK","NEW YORK CITY",NA
"97","RT @DeSalesMedia: .@FatherRosica A big battlefield before humanity is also the digital world. You only need a keyboard, screen or hand-held<U+0089><db>_","0","48:28.0","2","share","male","503","StJoseph_BK","NEW YORK CITY",NA
"98","RT @MikeOLoughlin: Congrats to @FatherRosica, recipient of @DeSalesMedia comms award. #WCDnyc Read his remarks: https://t.co/aDTyv2CIqY htt<U+0089><db>_","0","29:16.0","20","share","female","264","MariaPiaNegro",NA,NA
"99","RT @DeSalesMedia: .@JohnHarperTalk: We need to stand up in our communities and say ""I am Catholic!"" #WCDnyc","0","16:09.0","4","share","male","41","iJerseyfresh",NA,NA
"100","RT @saltandlighttv: Thanks to @DeSalesMedia for an excellent #WCD2016 conference @BrooklynDiocese Bravo! (Photos by Robert Longo) https://t<U+0089><db>_","0","42:42.0","1","share","unknown","1128","BrooklynDiocese","Brooklyn",NA
"101","19 years ago today on May 19 I began my career @TabletNewspaper in honor of my 19th on the 19th #tbt @DeSalesMedia https://t.co/1LmMrz78ye","0","49:17.0","0","post","female","113","berlykim22",NA,NA
"102","RT @DeSalesMedia: Check out the Catherine Laboure School's new website, designed by @DeSalesMedia! https://t.co/WYGbgGGpHJ https://t.co/Suw<U+0089><db>_","0","49:20.0","8","share","female","126","berlykim22",NA,NA
"103","RT @NETnyTV: Here's a @DeSalesMedia team pic from #RNCinCLE. Tune in 7:30pm https://t.co/jdkMrDPdC4 for @currentsny coverage. https://t.co/<U+0089><db>_","0","22:34.0","3","share","female","131","berlykim22",NA,NA
"104","RT @DeSalesMedia: Pray in English/Spanish for #marchforlife rally in DC on @BrooklynDiocese page: https://t.co/f0tDMEK6L5 #WhyWeMarch https<U+0089><db>_","0","17:43.0","5","share","female","94","berlykim22",NA,NA
"105","With the great Jorge Dom<cc>_nguez, editor of @NuestraVozDOB on bus to the papal Mass in Ju<cc><c1>rez. @DeSalesMedia @NETnyTV https://t.co/1VOjYL9tZp","0","44:08.0","0","post","male","6196","austeni","Wallingford",NA
"106","RT @berlykim22: Great job by my coworker Sister Elizabeth Ogbu A beautiful Blessing @DeSalesMedia @TabletNewspaper @NETnyTV @SFCNY https://<U+0089><db>_","0","57:29.0","2","share","male","485","StJoseph_BK","NEW YORK CITY",NA
"107","RT @DennisPoust: Can't wait for @DeSalesMedia #WCDnyc tomorrow &amp; seeing @FatherRosica @TheAnchoress, @JohnHarperTalk, @GibsonWrites, and, o<U+0089><db>_","0","25:29.0","3","share","male","60","MSajid15764328",NA,NA
"108","RT @MikeOLoughlin: Congrats to @FatherRosica, recipient of @DeSalesMedia comms award. #WCDnyc Read his remarks: https://t.co/aDTyv2CIqY htt<U+0089><db>_","0","20:47.0","10","share","male","13014","MichaelKellyIC","Dublin",NA
"109","RT @DeSalesMedia: We are live tweeting &amp; blogging the breakout sessions at #WCDnyc.","0","35:56.0","1","share","male","106","DeMedievalist","NEW YORK CITY",NA
"110","RT @DeSalesMedia: Be a part of #WCDnyc now until 4PM with our livestream. Go to https://t.co/ZjfI1wRY4G and tune in!","0","32:02.0","2","share","female","462","nbisbal","Brooklyn",NA
"111","RT @DeSalesMedia: .@JohnHarperTalk: We need to stand up in our communities and say ""I am Catholic!"" #WCDnyc","0","53:10.0","3","share","female","719","CCCarolstream","Carol Stream",NA
"112","RT @DeSalesMedia: .@FatherRosica to @BpDiMarzio: You have beautiful young people working here. You should cherish their contributions. (We<U+0089><db>_","0","58:00.0","4","share","male","19486","saltandlighttv","Toronto",NA
"113","RT @DeSalesMedia: .@Pontifex's message for World Communications Day, handwritten by the man himself! #WCDnyc #BrooklynCatholic https://t.co<U+0089><db>_","0","06:39.0","6","share","unknown","3075","NYSCatholicConf","Albany",NA
"114","RT @jovenesdevalor: Tonight's guest is Bishop James Massa, Auxiliary Bishop @BrooklynDiocese   @DeSalesMedia See you at 9PM @NETnyTV https:<U+0089><db>_","0","18:17.0","3","share","unknown","1136","NETnyTV","Brooklyn",NA
"115","RT @DeSalesMedia: How to Avoid Losing Your Kids to Their Electronic<e5><ca>Devices via @AleteiaEn https://t.co/K1p91gRdRi","0","49:45.0","2","share","male","36","StPatsNashuaNH",NA,NA
"116","RT @DeSalesMedia: Some @BrooklynDiocese pilgrims were delayed at JFK airport but that didn't dampen spirits ahead of #WYD2016! #WYDOB https<U+0089><db>_","0","06:42.0","1","share","unknown","1342","BrooklynDiocese","Brooklyn",NA
"117","Rise and shine with Kevin Washo Dir. DNC Host Cmte and devout Catholic. Amen. @currentsny @NETnyTV @DeSalesMedia https://t.co/laPWA8qI8j","0","20:50.0","0","post","female","154","AnchorLiz","Brooklyn",NA
"118","ICYMI: #MsgrKieranHarrington gave the #invocation at the #RNC: https://t.co/y0dnreZzUL #BrooklynCatholic @DeSalesMedia","0","40:26.0","0","post","unknown","842","CFBQ","Brooklyn",NA
"119","RT @DeSalesMedia: St. Teresa of Avila is the 39th Parish on the Parish Network! Check them out at https://t.co/koCVfKme5W https://t.co/5JCO<U+0089><db>_","0","49:09.0","1","share","male","586","StJoseph_BK","NEW YORK CITY",NA
"120","RT @berlykim22: @DeSalesMedia night @BrooklynCyclone my the boys! #summer2016 #christmasinaugust https://t.co/ILtHpvJGgt","0","44:02.0","1","share","unknown","1225","DeSalesMedia","Brooklyn",NA
"121","RT @DeSalesMedia: Catholics leaving the faith by age 10 &amp; what parents can do about it. - via @TheBostonPilot https://t.co/xIwDKaYaWM https<U+0089><db>_","0","10:15.0","1","share","male","604","StJoseph_BK","NEW YORK CITY",NA
"122","RT @DeSalesMedia: .@FDNY FF Thomas Callahan En Co 219. 'We will never forget the selflessness that saved thousands of lives that day."" http<U+0089><db>_","0","13:56.0","3","share","male","606","StJoseph_BK","NEW YORK CITY",NA
"123",".@DavidBisono it is our pleasure to help you do God's work on @NETnyTV @DeSalesMedia! The show looks fantastic! https://t.co/owEFQ2xFLc","0","16:07.0","0","post","male","609","StJoseph_BK","NEW YORK CITY",NA
"124","With the help @DeSalesMedia @ctnbrooklyn @Mathletics3PL was able to do a class launch on 11/16/16 @mhrcaparents<U+0089><db>_ https://t.co/4Wyh9CrdnO","0","45:02.0","0","post","female","18","Mathletics_NY","York",NA
